item_id,company_name,item_name,protein_option,price,description,added_date,last_modified_date,discontinued_date
1,chipotle,BURRITO,Carne Asada,11.2,none,2023-09-29,2023-09-29,none
2,chipotle,BURRITO,Chicken,8.2,none,2023-09-29,2023-09-29,none
3,chipotle,BURRITO,Steak,9.95,none,2023-09-29,2023-09-29,none
4,chipotle,BURRITO,Barbacoa,9.95,none,2023-09-29,2023-09-29,none
5,chipotle,BURRITO,Carnitas,8.85,none,2023-09-29,2023-09-29,none
6,chipotle,BURRITO,Sofritas,8.2,none,2023-09-29,2023-09-29,none
7,chipotle,BURRITO,Veggie,8.2,none,2023-09-29,2023-09-29,none
8,chipotle,BURRITO,Guacamole,2.6,none,2023-09-29,2023-09-29,none
9,chipotle,BURRITO,Queso Blanco,1.45,none,2023-09-29,2023-09-29,none
10,chipotle,BURRITO,Double Wrap with Tortilla,0.5,none,2023-09-29,2023-09-29,none
11,chipotle,BURRITO,Chips,1.7,none,2023-09-29,2023-09-29,none
12,chipotle,BURRITO,Chips & Guacamole,4.3,none,2023-09-29,2023-09-29,none
13,chipotle,BURRITO,Large Chips & Large Guacamole,7.65,none,2023-09-29,2023-09-29,none
14,chipotle,BURRITO,Chips & Fresh Tomato Salsa,2.15,none,2023-09-29,2023-09-29,none
15,chipotle,BURRITO,Chips & Tomatillo-Red Chili Salsa,2.15,none,2023-09-29,2023-09-29,none
16,chipotle,BURRITO,Chips & Tomatillo-Green Chili Salsa,2.15,none,2023-09-29,2023-09-29,none
17,chipotle,BURRITO,Chips & Roasted Chili-Corn Salsa,2.15,none,2023-09-29,2023-09-29,none
18,chipotle,BURRITO,Chips & Queso Blanco,4.3,none,2023-09-29,2023-09-29,none
19,chipotle,BURRITO,Large Chips & Large Queso Blanco,7.65,none,2023-09-29,2023-09-29,none
20,chipotle,BURRITO,Side of Guacamole,2.6,none,2023-09-29,2023-09-29,none
21,chipotle,BURRITO,Large Side of Guacamole,5.2,none,2023-09-29,2023-09-29,none
22,chipotle,BURRITO,Side of Queso Blanco,2.6,none,2023-09-29,2023-09-29,none
23,chipotle,BURRITO,Large Side of Queso Blanco,5.2,none,2023-09-29,2023-09-29,none
24,chipotle,BURRITO,Tortilla on the Side,0.5,none,2023-09-29,2023-09-29,none
25,chipotle,BURRITO,Fountain Drink,2.9,none,2023-09-29,2023-09-29,none
26,chipotle,BURRITO,Mexican Coca-Cola,3.15,none,2023-09-29,2023-09-29,none
27,chipotle,BURRITO,Mexican Sprite,3.15,none,2023-09-29,2023-09-29,none
28,chipotle,BURRITO,Tractor Organic Black Tea,3.2,none,2023-09-29,2023-09-29,none
29,chipotle,BURRITO,Tractor Organic Lemonade,3.2,none,2023-09-29,2023-09-29,none
30,chipotle,BURRITO,San Pellegrino Sparkling ,2.85,none,2023-09-29,2023-09-29,none
31,chipotle,BURRITO,Blackberry Izze,2.95,none,2023-09-29,2023-09-29,none
32,chipotle,BURRITO,Grapefruit Izze,2.95,none,2023-09-29,2023-09-29,none
33,chipotle,BURRITO,Bottled Water,2.65,none,2023-09-29,2023-09-29,none
34,chipotle,BURRITO,Apple Juice,2.95,none,2023-09-29,2023-09-29,none
35,chipotle,BURRITO,Peach Orange Juice,2.95,none,2023-09-29,2023-09-29,none
36,chipotle,BURRITO,Pineapple Orange Banana Juice,2.95,none,2023-09-29,2023-09-29,none
37,chipotle,BURRITO-BOWL,Carne Asada,11.2,none,2023-09-29,2023-09-29,none
38,chipotle,BURRITO-BOWL,Chicken,8.2,none,2023-09-29,2023-09-29,none
39,chipotle,BURRITO-BOWL,Steak,9.95,none,2023-09-29,2023-09-29,none
40,chipotle,BURRITO-BOWL,Barbacoa,9.95,none,2023-09-29,2023-09-29,none
41,chipotle,BURRITO-BOWL,Carnitas,8.85,none,2023-09-29,2023-09-29,none
42,chipotle,BURRITO-BOWL,Sofritas,8.2,none,2023-09-29,2023-09-29,none
43,chipotle,BURRITO-BOWL,Veggie,8.2,none,2023-09-29,2023-09-29,none
44,chipotle,BURRITO-BOWL,Guacamole,2.6,none,2023-09-29,2023-09-29,none
45,chipotle,BURRITO-BOWL,Queso Blanco,1.45,none,2023-09-29,2023-09-29,none
46,chipotle,BURRITO-BOWL,Chips,1.7,none,2023-09-29,2023-09-29,none
47,chipotle,BURRITO-BOWL,Chips & Guacamole,4.3,none,2023-09-29,2023-09-29,none
48,chipotle,BURRITO-BOWL,Large Chips & Large Guacamole,7.65,none,2023-09-29,2023-09-29,none
49,chipotle,BURRITO-BOWL,Chips & Fresh Tomato Salsa,2.15,none,2023-09-29,2023-09-29,none
50,chipotle,BURRITO-BOWL,Chips & Tomatillo-Red Chili Salsa,2.15,none,2023-09-29,2023-09-29,none
51,chipotle,BURRITO-BOWL,Chips & Tomatillo-Green Chili Salsa,2.15,none,2023-09-29,2023-09-29,none
52,chipotle,BURRITO-BOWL,Chips & Roasted Chili-Corn Salsa,2.15,none,2023-09-29,2023-09-29,none
53,chipotle,BURRITO-BOWL,Chips & Queso Blanco,4.3,none,2023-09-29,2023-09-29,none
54,chipotle,BURRITO-BOWL,Large Chips & Large Queso Blanco,7.65,none,2023-09-29,2023-09-29,none
55,chipotle,BURRITO-BOWL,Side of Guacamole,2.6,none,2023-09-29,2023-09-29,none
56,chipotle,BURRITO-BOWL,Large Side of Guacamole,5.2,none,2023-09-29,2023-09-29,none
57,chipotle,BURRITO-BOWL,Side of Queso Blanco,2.6,none,2023-09-29,2023-09-29,none
58,chipotle,BURRITO-BOWL,Large Side of Queso Blanco,5.2,none,2023-09-29,2023-09-29,none
59,chipotle,BURRITO-BOWL,Tortilla on the Side,0.5,none,2023-09-29,2023-09-29,none
60,chipotle,BURRITO-BOWL,Fountain Drink,2.9,none,2023-09-29,2023-09-29,none
61,chipotle,BURRITO-BOWL,Mexican Coca-Cola,3.15,none,2023-09-29,2023-09-29,none
